ISIN,name,ticker,fund_size,expense,replication,structure,strategy,currency,currency_risk,vol_1_year,inception,distribution_policy,distribution_frequency,domicile,provider,YTD,1m_return,3m_return,6m_return,1y_return,3y_return,5y_return,max_return,2022_return,2021_return,2020_return,2019_return,vol_1y,vol_3y,vol_5y,sharpe_1y,sharpe_3y,sharpe_5y,maxdrawdown_1y,maxdrawdown_3y,maxdrawdown_5y,maxdrawdown,description
LU1327051279,Lyxor S&P 500 Daily (-2x) Inverse UCITS ETF - Acc,DSP5,  GBP 33 m   , 0.60% p.a. , Synthetic (Unfunded swap) ,ETF,"Short, Leverage",USD,Currency unhedged, 39.26% ,14 December 2015,Accumulating,-,Luxembourg,Amundi ETF,-25.49%,+7.73%,-9.38%,-18.81%,-15.11%,-52.11%,-77.78%,-89.03%,+47.42%,-42.81%,-50.49%,-43.20%,39.26%,38.18%,45.02%,-0.38,-0.57,-0.58,-47.88%,-61.22%,-86.32%,-92.12%, The Lyxor S&P 500 Daily (-2x) Inverse UCITS ETF - Acc seeks to track the S&P 500® Short Leverage (2x) index. The S&P 500® Short Leverage (2x) index tracks the two times leveraged inverse performance of S&P 500® on a daily basis. The S&P 500® index tracks large cap US stocks.      The ETF's TER (total expense ratio) amounts to 0.60% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor S&P 500 Daily (-2x) Inverse UCITS ETF - Acc is a small ETF with 33m GBP assets under management.    The ETF was launched on 14 December 2015  and is domiciled in Luxembourg.  
LU2195226068,Lyxor Net Zero 2050 S&P Eurozone Climate PAB (DR) UCITS ETF - Acc,PABG,"  GBP 1,257 m   ", 0.20% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 19.62% ,6 July 2020,Accumulating,-,Luxembourg,Amundi ETF,+11.58%,-3.87%,-2.99%,-0.62%,+16.88%,+27.12%,-,+24.92%,-12.64%,+17.04%,-,-,19.62%,19.20%,-,0.86,0.43,-,-10.30%,-26.28%,-,-26.28%," The Lyxor Net Zero 2050 S&P Eurozone Climate PAB (DR) UCITS ETF - Acc seeks to track the S&P Eurozone LargeMidCap Paris-Aligned Climate index. The S&P Eurozone LargeMidCap Paris-Aligned Climate index tracks large- and mid-cap securities from Eurozone countries. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance). In particular, the index focuses on the Paris Agreement on limiting the global temperature increase to 1.5 degrees Celsius. The parent index is the S&P Eurozone LargeMidCap index.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..  The Lyxor Net Zero 2050 S&P Eurozone Climate PAB (DR) UCITS ETF - Acc is the only ETF that tracks the S&P Eurozone LargeMidCap Paris-Aligned Climate index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor Net Zero 2050 S&P Eurozone Climate PAB (DR) UCITS ETF - Acc is a very large ETF with 1,257m GBP assets under management.    The ETF was launched on 6 July 2020  and is domiciled in Luxembourg.  "
FR0010755611,Amundi ETF Leveraged MSCI USA Daily UCITS ETF EUR,CL2,  GBP 300 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Leverage,EUR,Currency unhedged, 36.62% ,29 June 2009,Accumulating,-,France,Amundi ETF,+20.53%,-3.24%,+6.60%,+11.24%,-7.46%,+70.92%,+118.85%,"+3,136.52%",-27.63%,+69.53%,+14.37%,+66.44%,36.62%,36.88%,43.42%,-0.20,0.53,0.39,-27.05%,-34.46%,-54.60%,-54.60%, The Amundi ETF Leveraged MSCI USA Daily UCITS ETF EUR seeks to track the MSCI USA Leverage (2x) index. The MSCI USA Leverage (2x) index tracks the two times leveraged performance of MSCI USA on a daily basis. The MSCI USA index tracks around 600 leading stocks on the US market.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF Leveraged MSCI USA Daily UCITS ETF EUR has 300m GBP assets under management.    The ETF was launched on 29 June 2009  and is domiciled in France.  
FR0011041334,Lyxor CAC MID 60 (DR) UCITS ETF - Dist,CACM,  GBP 11 m   , 0.50% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 19.56% ,13 May 2011,Distributing,Semi annually,France,Amundi ETF,+0.36%,-5.89%,-5.76%,-7.98%,+2.74%,+17.30%,+1.52%,+126.39%,-5.61%,+9.84%,+3.71%,+16.37%,19.56%,18.38%,19.70%,0.14,0.30,0.02,-12.05%,-22.33%,-37.94%,-37.94%, The Lyxor CAC MID 60 (DR) UCITS ETF - Dist seeks to track the CAC® Mid 60 index. The CAC® Mid 60 index tracks 60 French mid-cap stocks.      The ETF's TER (total expense ratio) amounts to 0.50% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor CAC MID 60 (DR) UCITS ETF - Dist is a very small ETF with 11m GBP assets under management.    The ETF was launched on 13 May 2011  and is domiciled in France.  
FR0010150458,BNP Paribas Easy CAC 40 ESG UCITS ETF,E40,  GBP 239 m   , 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.33% ,7 March 2005,Distributing,Annually,France,BNP Paribas Easy,+12.70%,-4.39%,-4.11%,-0.59%,+18.88%,+48.64%,+40.81%,+263.72%,-5.01%,+22.25%,+0.01%,+23.37%,17.33%,19.20%,20.73%,1.09,0.74,0.34,-8.77%,-21.55%,-33.29%,-43.11%," The BNP Paribas Easy CAC 40 ESG UCITS ETF seeks to track the Euronext CAC 40® ESG index. The Euronext CAC 40® ESG index tracks the largest and most traded French stocks listed on Euronext in Paris. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance).      The ETF's TER (total expense ratio) amounts to 0.25% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Annually).            The BNP Paribas Easy CAC 40 ESG UCITS ETF has 239m GBP assets under management.    The ETF was launched on 7 March 2005  and is domiciled in France.  "
FR0010717124,Amundi ETF Short CAC 40 Daily UCITS ETF,C4S,  GBP 62 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Short,EUR,Currency unhedged, 18.06% ,3 March 2009,Accumulating,-,France,Amundi ETF,-14.26%,+2.09%,+2.21%,-2.53%,-11.22%,-46.32%,-51.49%,-89.14%,+6.72%,-31.71%,-1.59%,-29.43%,18.06%,19.96%,22.84%,-0.62,-0.94,-0.59,-28.80%,-51.68%,-64.19%,-90.58%, The Amundi ETF Short CAC 40 Daily UCITS ETF seeks to track the CAC 40® Short index. The CAC 40® Short index tracks the inverse performance of the CAC 40® index. The CAC 40® index tracks the largest and most traded French stocks listed on Euronext in Paris.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF Short CAC 40 Daily UCITS ETF is a small ETF with 62m GBP assets under management.    The ETF was launched on 3 March 2009  and is domiciled in France.  
LU1602144575,Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C),CMU,"  GBP 1,155 m   ", 0.25% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 16.85% ,14 February 2018,Accumulating,-,Luxembourg,Amundi ETF,+7.49%,-3.97%,-3.77%,-2.27%,+14.99%,+27.08%,+23.20%,+35.17%,-6.04%,+13.39%,+4.20%,+22.34%,16.85%,17.82%,19.49%,0.89,0.47,0.22,-9.11%,-21.70%,-31.78%,-31.78%," The Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C) seeks to track the MSCI EMU ESG Leaders Select 5% Issuer Capped index. The MSCI EMU ESG Leaders Select 5% Issuer Capped index tracks large and mid cap stocks from countries in the European Economic and Monetary Union. Only companies with a high ESG (environmental, social and governance) rating, compared to their sector peers, are considered. The parent index is the MSCI EMU. The maximum weight of a company is capped to 5%.      The ETF's TER (total expense ratio) amounts to 0.25% p.a..  The Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C) is the only ETF that tracks the MSCI EMU ESG Leaders Select 5% Issuer Capped index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi MSCI EMU ESG Leaders Select UCITS ETF DR EUR (C) is a very large ETF with 1,155m GBP assets under management.    The ETF was launched on 14 February 2018  and is domiciled in Luxembourg.  "
LU1615090864,BNP Paribas Easy ESG Dividend Europe UCITS ETF,EDEU,  GBP 11 m   , 0.31% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 15.87% ,29 August 2017,Accumulating,-,Luxembourg,BNP Paribas Easy,+3.64%,-4.31%,-2.41%,-2.51%,+8.56%,+34.81%,-2.33%,+0.48%,-8.31%,+19.61%,-9.44%,+15.94%,15.87%,17.15%,20.06%,0.54,0.61,-0.02,-9.91%,-21.38%,-42.50%,-44.66%," The BNP Paribas Easy ESG Dividend Europe UCITS ETF seeks to track the BNP Paribas High Dividend Europe ESG index. The BNP Paribas High Dividend Europe ESG index tracks European stocks with high dividend yields. In addition to a high dividend yield, the sustainability of the dividend distributions is also taken into account. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance).      The ETF's TER (total expense ratio) amounts to 0.31% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The BNP Paribas Easy ESG Dividend Europe UCITS ETF is a very small ETF with 11m GBP assets under management.    The ETF was launched on 29 August 2017  and is domiciled in Luxembourg.  "
LU1481201538,BNP Paribas Easy ESG Momentum Europe UCITS ETF,MOED,  GBP 0 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.94% ,31 January 2017,Distributing,Annually,Luxembourg,BNP Paribas Easy,+3.21%,-4.41%,-4.88%,-3.14%,+4.59%,+9.50%,+5.78%,+30.96%,-11.49%,+14.74%,+3.42%,+14.82%,14.94%,16.07%,17.68%,0.31,0.19,0.06,-9.40%,-21.50%,-30.02%,-30.30%," The BNP Paribas Easy ESG Momentum Europe UCITS ETF seeks to track the BNP Paribas Momentum Europe ESG index. The BNP Paribas Momentum Europe ESG index tracks stocks with a high price momentum from Europe. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance).      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are distributed to the investors (Annually).            The BNP Paribas Easy ESG Momentum Europe UCITS ETF is a very small ETF with 0m GBP assets under management.    The ETF was launched on 31 January 2017  and is domiciled in Luxembourg.  "
LU1681047319,Amundi EURO STOXX 50 UCITS ETF DR - EUR (D),CD5,  GBP 76 m   , 0.07% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.60% ,29 June 2010,Distributing,Annually,Luxembourg,Amundi ETF,+11.26%,-4.13%,-3.90%,+0.07%,+21.32%,+35.40%,+36.29%,+166.20%,-4.00%,+15.84%,+2.56%,+25.23%,17.60%,19.30%,20.71%,1.21,0.55,0.31,-7.97%,-22.11%,-32.08%,-34.76%, The Amundi EURO STOXX 50 UCITS ETF DR - EUR (D) seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.07% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Annually).            The Amundi EURO STOXX 50 UCITS ETF DR - EUR (D) is a small ETF with 76m GBP assets under management.    The ETF was launched on 29 June 2010  and is domiciled in Luxembourg.  
FR0010010827,Lyxor FTSE MIB UCITS ETF - Dist,MIBX,  GBP 303 m   , 0.35% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 21.50% ,3 November 2003,Distributing,Semi annually,France,Amundi ETF,+18.27%,-3.72%,+1.73%,+3.93%,+42.12%,+51.12%,+51.59%,+96.75%,-4.23%,+18.15%,+1.43%,+26.26%,21.50%,21.35%,23.18%,1.96,0.69,0.37,-10.30%,-24.37%,-37.65%,-82.66%, The Lyxor FTSE MIB UCITS ETF - Dist seeks to track the FTSE MIB index. The FTSE MIB index tracks the 40 largest Italian companies.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..  The Lyxor FTSE MIB UCITS ETF - Dist is the largest ETF that tracks the FTSE MIB index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The Lyxor FTSE MIB UCITS ETF - Dist has 303m GBP assets under management.    The ETF was launched on 3 November 2003  and is domiciled in France.  
LU1834987973,Lyxor STOXX Europe 600 Insurance UCITS ETF - Acc,INS,  GBP 46 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 16.68% ,18 August 2006,Accumulating,-,Luxembourg,Amundi ETF,+0.46%,-3.02%,-3.86%,-3.00%,+13.56%,+37.02%,+32.20%,+193.13%,+8.93%,+12.02%,-4.89%,+23.29%,16.68%,19.09%,22.31%,0.81,0.58,0.26,-12.85%,-19.60%,-40.95%,-64.59%, The Lyxor STOXX Europe 600 Insurance UCITS ETF - Acc seeks to track the STOXX® Europe 600 Insurance index. The STOXX® Europe 600 Insurance index tracks the European insurance sector.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor STOXX Europe 600 Insurance UCITS ETF - Acc is a small ETF with 46m GBP assets under management.    The ETF was launched on 18 August 2006  and is domiciled in Luxembourg.  
LU1834984798,Lyxor STOXX Europe 600 Financial Services UCITS ETF - Acc,FIN,  GBP 15 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 21.54% ,18 August 2006,Accumulating,-,Luxembourg,Amundi ETF,+5.53%,-2.85%,-1.95%,-3.31%,+3.65%,+12.41%,+32.66%,+212.17%,-19.18%,+18.37%,+12.60%,+35.85%,21.54%,21.04%,22.14%,0.17,0.19,0.26,-13.80%,-29.63%,-35.92%,-63.10%, The Lyxor STOXX Europe 600 Financial Services UCITS ETF - Acc seeks to track the STOXX® Europe 600 Financial Services index. The STOXX® Europe 600 Financial Services index tracks the European financial services sector.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor STOXX Europe 600 Financial Services UCITS ETF - Acc is a very small ETF with 15m GBP assets under management.    The ETF was launched on 18 August 2006  and is domiciled in Luxembourg.  
LU0908501215,Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc,MSED,  GBP 134 m   , 0.07% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 20.75% ,3 April 2013,Accumulating,-,Luxembourg,Amundi ETF,+11.19%,-4.19%,-3.93%,+0.00%,+29.92%,+35.56%,+36.79%,+130.95%,-3.93%,+15.94%,+2.81%,+22.55%,20.75%,20.32%,21.24%,1.44,0.53,0.30,-7.98%,-22.06%,-32.08%,-32.08%, The Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.07% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc has 134m GBP assets under management.    The ETF was launched on 3 April 2013  and is domiciled in Luxembourg.  
FR0011550672,BNP Paribas Easy STOXX Europe 600 UCITS ETF,ETZD,  GBP 70 m   , 0.20% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.63% ,16 September 2013,Distributing,At least annually,France,BNP Paribas Easy,+4.57%,-4.02%,-4.53%,-2.75%,+8.45%,+27.68%,+28.77%,+92.97%,-5.02%,+17.03%,+4.01%,+21.11%,14.63%,15.79%,17.57%,0.58,0.54,0.30,-9.19%,-16.95%,-28.57%,-28.57%, The BNP Paribas Easy STOXX Europe 600 UCITS ETF seeks to track the STOXX® Europe 600 index. The STOXX® Europe 600 index tracks the 600 largest European companies.      The ETF's TER (total expense ratio) amounts to 0.20% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are distributed to the investors (At least annually).            The BNP Paribas Easy STOXX Europe 600 UCITS ETF is a small ETF with 70m GBP assets under management.    The ETF was launched on 16 September 2013  and is domiciled in France.  
FR0011550680,BNP Paribas Easy S&P 500 UCITS ETF,ESEA,  GBP 69 m   , 0.15% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,USD,Currency unhedged, 20.66% ,16 September 2013,Distributing,At least annually,France,BNP Paribas Easy,+9.09%,-2.34%,+2.80%,+5.35%,-1.95%,+38.84%,+67.30%,+284.80%,-8.52%,+30.11%,+14.57%,+27.33%,20.66%,19.27%,22.26%,-0.09,0.60,0.49,-11.91%,-15.57%,-26.23%,-26.23%, The BNP Paribas Easy S&P 500 UCITS ETF seeks to track the S&P 500® index. The S&P 500® index tracks the 500 largest US stocks.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are distributed to the investors (At least annually).            The BNP Paribas Easy S&P 500 UCITS ETF is a small ETF with 69m GBP assets under management.    The ETF was launched on 16 September 2013  and is domiciled in France.  
IE00BZ4BMM98,Invesco EURO STOXX High Dividend Low Volatility UCITS ETF,EUHD,  GBP 19 m   , 0.30% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 15.35% ,6 January 2016,Distributing,Quarterly,Ireland,Invesco,+2.70%,-4.40%,-4.39%,-5.12%,+6.43%,+18.10%,-1.36%,+45.96%,-4.01%,+13.48%,-13.38%,+12.02%,15.35%,15.40%,18.87%,0.42,0.37,-0.01,-12.41%,-19.52%,-36.53%,-36.53%, The Invesco EURO STOXX High Dividend Low Volatility UCITS ETF seeks to track the EURO iSTOXX® High Dividend Low Volatility 50 index. The EURO iSTOXX® High Dividend Low Volatility 50 index tracks 50 high dividend yield stocks which also show a low volatility.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..  The Invesco EURO STOXX High Dividend Low Volatility UCITS ETF is the only ETF that tracks the EURO iSTOXX® High Dividend Low Volatility 50 index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Quarterly).            The Invesco EURO STOXX High Dividend Low Volatility UCITS ETF is a small ETF with 19m GBP assets under management.    The ETF was launched on 6 January 2016  and is domiciled in Ireland.  
LU1681038839,Amundi Russell 2000 UCITS ETF USD,RS2G,  GBP 26 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,USD,Currency unhedged, 24.73% ,22 March 2018,Accumulating,-,Luxembourg,Amundi ETF,+0.14%,-4.66%,+1.29%,-6.40%,-9.12%,+26.23%,+14.42%,+125.91%,-11.17%,+15.75%,+15.61%,+21.19%,24.73%,24.29%,27.51%,-0.37,0.33,0.10,-17.06%,-24.62%,-37.17%,-37.17%, The Amundi Russell 2000 UCITS ETF USD seeks to track the Russell 2000® index. The Russell 2000® index tracks 2000 companies from the US small cap stocks.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi Russell 2000 UCITS ETF USD is a small ETF with 26m GBP assets under management.    The ETF was launched on 22 March 2018  and is domiciled in Luxembourg.  
FR0012740983,BNP Paribas Easy EURO STOXX 50 UCITS ETF,ETBB,  GBP 130 m   , 0.18% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 17.55% ,27 July 2015,Distributing,Annually,France,BNP Paribas Easy,+9.60%,-4.23%,-4.03%,-0.13%,+21.27%,+35.54%,+36.19%,+219.21%,-2.52%,+15.96%,+2.61%,+22.40%,17.55%,19.37%,20.77%,1.21,0.55,0.31,-7.99%,-22.07%,-32.02%,-34.68%, The BNP Paribas Easy EURO STOXX 50 UCITS ETF seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.18% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Annually).            The BNP Paribas Easy EURO STOXX 50 UCITS ETF has 130m GBP assets under management.    The ETF was launched on 27 July 2015  and is domiciled in France.  
LU1681047400,Amundi EURO STOXX 50 UCITS ETF DR USD (C),C50U,  GBP 8 m   , 0.15% p.a. , Physical (Full replication) ,ETF,Long-only,USD,Currency unhedged, 20.36% ,15 October 2015,Accumulating,-,Luxembourg,Amundi ETF,+10.54%,-4.61%,-4.26%,-0.38%,+21.05%,+34.50%,+35.69%,+90.16%,-4.33%,+16.63%,+2.36%,+25.63%,20.36%,20.89%,21.81%,1.03,0.50,0.29,-8.35%,-22.39%,-32.69%,-32.69%, The Amundi EURO STOXX 50 UCITS ETF DR USD (C) seeks to track the EURO STOXX® 50 index. The EURO STOXX® 50 index tracks the 50 largest companies in the eurozone.      The ETF's TER (total expense ratio) amounts to 0.15% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi EURO STOXX 50 UCITS ETF DR USD (C) is a very small ETF with 8m GBP assets under management.    The ETF was launched on 15 October 2015  and is domiciled in Luxembourg.  
IE00B5M1WJ87,SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),EUDV,  GBP 841 m   , 0.30% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 15.11% ,28 February 2012,Distributing,Semi annually,Ireland,SPDR ETF,+6.19%,-3.67%,-4.17%,-1.68%,+12.55%,+12.86%,+3.97%,+111.62%,-6.47%,+7.42%,-6.98%,+16.13%,15.11%,15.39%,17.52%,0.83,0.27,0.04,-10.11%,-21.97%,-32.08%,-32.08%, The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) seeks to track the S&P Euro High Yield Dividend Aristocrats index. The S&P Euro High Yield Dividend Aristocrats index tracks the eurozone companies whose dividends have risen in the last 10 consecutive years.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..  The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) is the only ETF that tracks the S&P Euro High Yield Dividend Aristocrats index.   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are distributed to the investors (Semi annually).            The SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist) is a large ETF with 841m GBP assets under management.    The ETF was launched on 28 February 2012  and is domiciled in Ireland.  
IE00B910VR50,SPDR MSCI EMU UCITS ETF,EMUE,  GBP 185 m   , 0.18% p.a. , Physical (Full replication) ,ETF,Long-only,EUR,Currency unhedged, 16.69% ,25 January 2013,Accumulating,-,Ireland,SPDR ETF,+8.73%,-4.34%,-3.88%,-1.66%,+15.91%,+28.85%,+24.99%,+114.61%,-7.20%,+14.51%,+4.73%,+19.76%,16.69%,17.99%,19.47%,0.95,0.49,0.23,-9.20%,-22.03%,-31.60%,-31.60%, The SPDR MSCI EMU UCITS ETF seeks to track the MSCI EMU index. The MSCI EMU index tracks large and mid cap stocks from countries in the European Economic and Monetary Union.      The ETF's TER (total expense ratio) amounts to 0.18% p.a..   The ETF replicates the performance of the underlying index by full replication (buying all the index constituents).    The dividends in the ETF  are accumulated and reinvested in the ETF.            The SPDR MSCI EMU UCITS ETF has 185m GBP assets under management.    The ETF was launched on 25 January 2013  and is domiciled in Ireland.  
FR0010791194,Amundi ETF Short MSCI USA Daily UCITS ETF,C2U,  GBP 30 m   , 0.35% p.a. , Synthetic (Unfunded swap) ,ETF,Short,EUR,Currency unhedged, 19.54% ,29 September 2009,Accumulating,-,France,Amundi ETF,-14.69%,-0.39%,-5.19%,-9.56%,+1.19%,-42.00%,-61.08%,-92.12%,+14.53%,-34.46%,-17.99%,-31.96%,19.54%,20.15%,23.84%,0.06,-0.82,-0.72,-17.14%,-46.82%,-67.88%,-93.10%, The Amundi ETF Short MSCI USA Daily UCITS ETF seeks to track the MSCI USA Short index. The MSCI USA Short index tracks the inverse performance of MSCI USA on a daily basis. The MSCI USA index tracks leading stocks on the US market.      The ETF's TER (total expense ratio) amounts to 0.35% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Amundi ETF Short MSCI USA Daily UCITS ETF is a small ETF with 30m GBP assets under management.    The ETF was launched on 29 September 2009  and is domiciled in France.  
LU1834988435,Lyxor STOXX Europe 600 Retail UCITS ETF - Acc,RTA,  GBP 9 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 24.10% ,25 August 2006,Accumulating,-,Luxembourg,Amundi ETF,+21.42%,-5.10%,+3.21%,+4.37%,+28.12%,+7.06%,+21.02%,+132.04%,-27.05%,+6.03%,+17.07%,+30.43%,24.10%,23.26%,21.71%,1.17,0.10,0.18,-15.34%,-46.85%,-46.85%,-46.85%, The Lyxor STOXX Europe 600 Retail UCITS ETF - Acc seeks to track the STOXX® Europe 600 Retail index. The STOXX® Europe 600 Retail index tracks the European retail sector.      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The Lyxor STOXX Europe 600 Retail UCITS ETF - Acc is a very small ETF with 9m GBP assets under management.    The ETF was launched on 25 August 2006  and is domiciled in Luxembourg.  
LU1377382012,BNP Paribas Easy ESG Momentum Europe UCITS ETF,EMOM,  GBP 2 m   , 0.30% p.a. , Synthetic (Unfunded swap) ,ETF,Long-only,EUR,Currency unhedged, 14.22% ,7 June 2016,Accumulating,-,Luxembourg,BNP Paribas Easy,+3.24%,-4.37%,-4.85%,-3.09%,+4.63%,+9.55%,+5.82%,+52.03%,-11.48%,+14.74%,+3.42%,+14.82%,14.22%,15.86%,17.59%,0.33,0.19,0.06,-9.40%,-21.50%,-30.02%,-30.30%," The BNP Paribas Easy ESG Momentum Europe UCITS ETF seeks to track the BNP Paribas Momentum Europe ESG index. The BNP Paribas Momentum Europe ESG index tracks stocks with a high price momentum from Europe. The stocks included are filtered according to ESG criteria (environmental, social and corporate governance).      The ETF's TER (total expense ratio) amounts to 0.30% p.a..   The ETF replicates the performance of the underlying index synthetically with a swap.    The dividends in the ETF  are accumulated and reinvested in the ETF.            The BNP Paribas Easy ESG Momentum Europe UCITS ETF is a very small ETF with 2m GBP assets under management.    The ETF was launched on 7 June 2016  and is domiciled in Luxembourg.  "
